A,B,C,D,E,F,G
F,T_xEfV1,518,FOLRHQUMXSELBYM,4785,171,WOTRJPNMGQSJCKW
H,O_Um421,889,GMPOFQSNXAFECJD,4989,209,OXMMZOZDYYWVGJG
F,T_xEfV1,785,RPCNHBECGNSCRLO,2113,121,WWICVCDUHUKZAWN
E,K_12M34,990,JAHPMDXMTWJIEDT,4611,181,CBKMUWJEKWNROTY
A,X_10fMM,650,UWIGXJDOHPGZKOC,2361,112,INOMZYINCCISUCQ
D,Y_A13Fm,859,DYGGIROHJBJBGMC,2379,215,QWJKGTTBATEWAHN
H,O_Um421,672,LTFQSCEYRBVKUAP,2034,208,DPQLFVEHBGGKXGX
F,T_xEfV1,60,QEBBIPDXWRCHGSK,4756,162,KAQZSSKPPWRORYW
H,O_Um421,469,GCCIJFZZLUSNZKR,2507,149,BGRMWMMUMEFOBGL
K,R_NFT36,240,CFSPXFBIYSITKUE,1764,153,OLNSTYUIIIGYSSL
E,K_12M34,289,QRSBLITQOKOCXNM,1852,153,OLNSTYUIIIGYSSL
G,U_oAo12,852,WJILXXFLHVEIIVG,4717,197,BNSCSXOJWAFTTVS
K,R_NFT36,952,VURNASZCCMBGFMH,1268,181,CBKMUWJEKWNROTY
H,O_Um421,419,OHXGDSVDHPGJGAO,4942,149,BGRMWMMUMEFOBGL
G,U_oAo12,213,AZVXUIYPGMHNZXJ,3069,162,KAQZSSKPPWRORYW
C,X_MM42e,142,XVRRJLDRBCRUBVU,4967,174,JIBGCETMMPEQHUC
D,Y_A13Fm,49,CPIEOLOBXRARHBO,2273,209,OXMMZOZDYYWVGJG
C,X_MM42e,16,KAMABLMDNQXPNDU,3744,174,JIBGCETMMPEQHUC
D,Y_A13Fm,647,PNAWBSQVYHBMFPO,4826,181,CBKMUWJEKWNROTY
B,T_Fe134,142,XVRRJLDRBCRUBVU,2291,121,WWICVCDUHUKZAWN
A,X_10fMM,368,HXUBRLHKGOBUJKR,1384,149,BGRMWMMUMEFOBGL
B,T_Fe134,798,USPSEOSELIAAPUD,1877,121,WWICVCDUHUKZAWN
F,T_xEfV1,697,GHVMMFKKKMDGWBO,4678,215,QWJKGTTBATEWAHN
K,R_NFT36,35,PSSVRABNAOGNKCP,1818,153,OLNSTYUIIIGYSSL
H,O_Um421,384,NDGVSOYSBRMIQLD,4591,179,PKOSWZVLMXMTLZW
E,K_12M34,962,PLENQJDDYZULYKA,3679,153,OLNSTYUIIIGYSSL
B,T_Fe134,431,PGRSPDOMBBGLRYP,1439,174,JIBGCETMMPEQHUC
C,X_MM42e,863,YEESBRKROXSGSQS,2917,197,BNSCSXOJWAFTTVS
D,Y_A13Fm,81,ODZTDFJYPUEVZXZ,2284,162,KAQZSSKPPWRORYW
D,Y_A13Fm,142,XVRRJLDRBCRUBVU,4786,208,DPQLFVEHBGGKXGX
G,U_oAo12,473,RJWQPBLKMLUAIMZ,4265,209,OXMMZOZDYYWVGJG
B,T_Fe134,725,PXGPTCHULHWPELF,3495,179,PKOSWZVLMXMTLZW
F,T_xEfV1,760,AIUYMMHXMPOYHJJ,2494,179,PKOSWZVLMXMTLZW
A,X_10fMM,14,OOMARJWTOWJFXLM,1572,215,QWJKGTTBATEWAHN
D,Y_A13Fm,96,TDGZPEQTLFGJQCV,1971,208,DPQLFVEHBGGKXGX
H,O_Um421,491,HWIQNNMEKJRBPGP,3560,174,JIBGCETMMPEQHUC
F,T_xEfV1,138,WWWKZNUKKOCVLDA,4719,210,LCZQWSYFTCTBQUI
F,T_xEfV1,213,AZVXUIYPGMHNZXJ,2775,181,CBKMUWJEKWNROTY
H,O_Um421,859,DYGGIROHJBJBGMC,1008,210,LCZQWSYFTCTBQUI
C,X_MM42e,96,TDGZPEQTLFGJQCV,2131,121,WWICVCDUHUKZAWN
A,X_10fMM,84,HLLIUTIMRUMRQDK,3570,112,INOMZYINCCISUCQ
F,T_xEfV1,177,MZXEXJZPBWCTOXL,4506,215,QWJKGTTBATEWAHN
D,Y_A13Fm,148,NOCWJPTSKUMKXVK,4816,179,PKOSWZVLMXMTLZW
G,U_oAo12,458,DZGZSRGUYGDHDIX,3718,215,QWJKGTTBATEWAHN
K,R_NFT36,827,HBCWMFSNHTNNSOF,4740,174,JIBGCETMMPEQHUC
C,X_MM42e,758,CDSHIUCJMSVSCEJ,1409,197,BNSCSXOJWAFTTVS
G,U_oAo12,582,VIYZJRMURLLANOL,2612,215,QWJKGTTBATEWAHN
H,O_Um421,64,WWDVEEYMDMTQDAH,3336,162,KAQZSSKPPWRORYW
K,R_NFT36,368,HXUBRLHKGOBUJKR,2422,121,WWICVCDUHUKZAWN
D,Y_A13Fm,337,GWZQDWLWEPCDWMX,2062,121,WWICVCDUHUKZAWN
D,Y_A13Fm,582,VIYZJRMURLLANOL,1406,121,WWICVCDUHUKZAWN
A,X_10fMM,650,UWIGXJDOHPGZKOC,1842,198,UHNHONUHHZTFLGT
H,O_Um421,38,IORHSTMRDEJEBPU,4249,215,QWJKGTTBATEWAHN
B,T_Fe134,64,WWDVEEYMDMTQDAH,1542,208,DPQLFVEHBGGKXGX
G,U_oAo12,113,JXFGSVBQNNEUMCJ,1448,121,WWICVCDUHUKZAWN
B,T_Fe134,758,CDSHIUCJMSVSCEJ,2165,162,KAQZSSKPPWRORYW
C,X_MM42e,177,MZXEXJZPBWCTOXL,4505,209,OXMMZOZDYYWVGJG
K,R_NFT36,863,YEESBRKROXSGSQS,4109,179,PKOSWZVLMXMTLZW
F,T_xEfV1,16,KAMABLMDNQXPNDU,4116,209,OXMMZOZDYYWVGJG
G,U_oAo12,826,GJBZRUMIQLQFNCZ,1299,210,LCZQWSYFTCTBQUI
F,T_xEfV1,492,FBBYTXBZSXXEFLG,3664,209,OXMMZOZDYYWVGJG
G,U_oAo12,822,SKVFPHPLCMNHQPE,3966,208,DPQLFVEHBGGKXGX
E,K_12M34,952,VURNASZCCMBGFMH,2198,215,QWJKGTTBATEWAHN
A,X_10fMM,305,USKWCWUANJKSPOV,2887,215,QWJKGTTBATEWAHN
B,T_Fe134,583,QDMHXFMKFQWMNUF,4691,181,CBKMUWJEKWNROTY
E,K_12M34,502,UYCUSOYWJOOGNSE,3336,171,WOTRJPNMGQSJCKW
B,T_Fe134,213,AZVXUIYPGMHNZXJ,1285,121,WWICVCDUHUKZAWN
A,X_10fMM,16,KAMABLMDNQXPNDU,1460,112,INOMZYINCCISUCQ
F,T_xEfV1,419,OHXGDSVDHPGJGAO,3187,197,BNSCSXOJWAFTTVS
B,T_Fe134,431,PGRSPDOMBBGLRYP,3433,197,BNSCSXOJWAFTTVS
F,T_xEfV1,952,VURNASZCCMBGFMH,2331,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,125,RVFYFMPWBZNWCQK,2600,215,QWJKGTTBATEWAHN
D,Y_A13Fm,662,ODFURYFINNMQPUJ,4112,171,WOTRJPNMGQSJCKW
B,T_Fe134,562,VNGWSFSNSIAFCGD,2391,112,INOMZYINCCISUCQ
B,T_Fe134,699,MIYDBATFLODBRRA,2947,162,KAQZSSKPPWRORYW
F,T_xEfV1,650,UWIGXJDOHPGZKOC,2185,181,CBKMUWJEKWNROTY
C,X_MM42e,240,CFSPXFBIYSITKUE,1456,179,PKOSWZVLMXMTLZW
G,U_oAo12,390,CHVNCVKDEMWMRPE,4590,153,OLNSTYUIIIGYSSL
H,O_Um421,889,GMPOFQSNXAFECJD,2479,179,PKOSWZVLMXMTLZW
A,X_10fMM,142,XVRRJLDRBCRUBVU,4402,121,WWICVCDUHUKZAWN
A,X_10fMM,859,DYGGIROHJBJBGMC,1712,174,JIBGCETMMPEQHUC
E,K_12M34,49,CPIEOLOBXRARHBO,3739,210,LCZQWSYFTCTBQUI
H,O_Um421,650,UWIGXJDOHPGZKOC,2202,121,WWICVCDUHUKZAWN
F,T_xEfV1,582,VIYZJRMURLLANOL,4827,162,KAQZSSKPPWRORYW
E,K_12M34,662,ODFURYFINNMQPUJ,2782,162,KAQZSSKPPWRORYW
D,Y_A13Fm,419,OHXGDSVDHPGJGAO,1018,179,PKOSWZVLMXMTLZW
G,U_oAo12,822,SKVFPHPLCMNHQPE,3018,181,CBKMUWJEKWNROTY
B,T_Fe134,177,MZXEXJZPBWCTOXL,1145,181,CBKMUWJEKWNROTY
E,K_12M34,142,XVRRJLDRBCRUBVU,4590,198,UHNHONUHHZTFLGT
B,T_Fe134,20,ILQLMBISHNQTVFK,4703,149,BGRMWMMUMEFOBGL
E,K_12M34,568,HFPDEYWZGYHHSJP,1117,121,WWICVCDUHUKZAWN
E,K_12M34,962,PLENQJDDYZULYKA,1620,181,CBKMUWJEKWNROTY
D,Y_A13Fm,798,USPSEOSELIAAPUD,4086,181,CBKMUWJEKWNROTY
H,O_Um421,760,AIUYMMHXMPOYHJJ,2687,174,JIBGCETMMPEQHUC
F,T_xEfV1,413,BYLODPSXBFMLHFU,3709,208,DPQLFVEHBGGKXGX
D,Y_A13Fm,810,PGYACUGIRYNMCBE,2602,198,UHNHONUHHZTFLGT
D,Y_A13Fm,404,GUJKMIZNEXIEPZE,3470,181,CBKMUWJEKWNROTY
A,X_10fMM,163,WJEQCQKJKVCRYMJ,3096,179,PKOSWZVLMXMTLZW
B,T_Fe134,492,FBBYTXBZSXXEFLG,2428,112,INOMZYINCCISUCQ
G,U_oAo12,674,AFNIOPRUNAKVQOO,1110,174,JIBGCETMMPEQHUC
H,O_Um421,827,HBCWMFSNHTNNSOF,2436,208,DPQLFVEHBGGKXGX
F,T_xEfV1,659,SDHVERSRFEVGPNA,3231,181,CBKMUWJEKWNROTY
B,T_Fe134,96,TDGZPEQTLFGJQCV,2089,215,QWJKGTTBATEWAHN
E,K_12M34,491,HWIQNNMEKJRBPGP,1110,208,DPQLFVEHBGGKXGX
F,T_xEfV1,662,ODFURYFINNMQPUJ,4588,112,INOMZYINCCISUCQ
K,R_NFT36,502,UYCUSOYWJOOGNSE,2727,181,CBKMUWJEKWNROTY
C,X_MM42e,150,EPGRUBMPZPBYLHC,3360,121,WWICVCDUHUKZAWN
A,X_10fMM,213,AZVXUIYPGMHNZXJ,3770,153,OLNSTYUIIIGYSSL
H,O_Um421,491,HWIQNNMEKJRBPGP,1172,215,QWJKGTTBATEWAHN
C,X_MM42e,384,NDGVSOYSBRMIQLD,1588,174,JIBGCETMMPEQHUC
B,T_Fe134,113,JXFGSVBQNNEUMCJ,3515,179,PKOSWZVLMXMTLZW
B,T_Fe134,674,AFNIOPRUNAKVQOO,1274,197,BNSCSXOJWAFTTVS
H,O_Um421,822,SKVFPHPLCMNHQPE,2594,162,KAQZSSKPPWRORYW
B,T_Fe134,81,ODZTDFJYPUEVZXZ,2856,197,BNSCSXOJWAFTTVS
E,K_12M34,940,XQCNPCOHYWSQVFY,1406,179,PKOSWZVLMXMTLZW
B,T_Fe134,419,OHXGDSVDHPGJGAO,1198,179,PKOSWZVLMXMTLZW
B,T_Fe134,863,YEESBRKROXSGSQS,2386,197,BNSCSXOJWAFTTVS
G,U_oAo12,419,OHXGDSVDHPGJGAO,3537,171,WOTRJPNMGQSJCKW
C,X_MM42e,404,GUJKMIZNEXIEPZE,1854,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,377,UHIWXYBDZCQDMBW,4241,149,BGRMWMMUMEFOBGL
C,X_MM42e,650,UWIGXJDOHPGZKOC,4212,112,INOMZYINCCISUCQ
D,Y_A13Fm,827,HBCWMFSNHTNNSOF,4810,179,PKOSWZVLMXMTLZW
A,X_10fMM,755,XIBUOKRQGJCFFMG,4091,174,JIBGCETMMPEQHUC
B,T_Fe134,550,JHDHDSBRIXPFYZF,1530,208,DPQLFVEHBGGKXGX
A,X_10fMM,515,JHSFUSBMABVPPJH,1184,153,OLNSTYUIIIGYSSL
K,R_NFT36,798,USPSEOSELIAAPUD,2912,198,UHNHONUHHZTFLGT
G,U_oAo12,177,MZXEXJZPBWCTOXL,1106,162,KAQZSSKPPWRORYW
G,U_oAo12,515,JHSFUSBMABVPPJH,4568,197,BNSCSXOJWAFTTVS
H,O_Um421,822,SKVFPHPLCMNHQPE,1864,179,PKOSWZVLMXMTLZW
C,X_MM42e,379,TUHOMJTPLRKEYQA,2868,215,QWJKGTTBATEWAHN
H,O_Um421,725,PXGPTCHULHWPELF,1366,181,CBKMUWJEKWNROTY
E,K_12M34,859,DYGGIROHJBJBGMC,1087,198,UHNHONUHHZTFLGT
K,R_NFT36,113,JXFGSVBQNNEUMCJ,2985,179,PKOSWZVLMXMTLZW
A,X_10fMM,863,YEESBRKROXSGSQS,3354,197,BNSCSXOJWAFTTVS
H,O_Um421,647,PNAWBSQVYHBMFPO,3144,153,OLNSTYUIIIGYSSL
F,T_xEfV1,674,AFNIOPRUNAKVQOO,3784,210,LCZQWSYFTCTBQUI
E,K_12M34,413,BYLODPSXBFMLHFU,1917,179,PKOSWZVLMXMTLZW
K,R_NFT36,49,CPIEOLOBXRARHBO,4074,149,BGRMWMMUMEFOBGL
E,K_12M34,674,AFNIOPRUNAKVQOO,2787,149,BGRMWMMUMEFOBGL
A,X_10fMM,826,GJBZRUMIQLQFNCZ,1074,208,DPQLFVEHBGGKXGX
H,O_Um421,159,KBCJRMNZUDVGIQH,3606,149,BGRMWMMUMEFOBGL
C,X_MM42e,929,MZZSOCSUGSTUXPF,1587,153,OLNSTYUIIIGYSSL
K,R_NFT36,568,HFPDEYWZGYHHSJP,3460,210,LCZQWSYFTCTBQUI
B,T_Fe134,729,LJGOQBMPLTAWZHD,4032,162,KAQZSSKPPWRORYW
B,T_Fe134,582,VIYZJRMURLLANOL,3997,121,WWICVCDUHUKZAWN
F,T_xEfV1,419,OHXGDSVDHPGJGAO,1429,121,WWICVCDUHUKZAWN
H,O_Um421,674,AFNIOPRUNAKVQOO,4090,162,KAQZSSKPPWRORYW
E,K_12M34,458,DZGZSRGUYGDHDIX,3418,162,KAQZSSKPPWRORYW
C,X_MM42e,150,EPGRUBMPZPBYLHC,4127,181,CBKMUWJEKWNROTY
E,K_12M34,491,HWIQNNMEKJRBPGP,1653,215,QWJKGTTBATEWAHN
D,Y_A13Fm,755,XIBUOKRQGJCFFMG,3015,112,INOMZYINCCISUCQ
K,R_NFT36,385,NHYVTTIDXFYADCF,1178,209,OXMMZOZDYYWVGJG
K,R_NFT36,643,HOSFKFOMXMCHXPL,1468,209,OXMMZOZDYYWVGJG
B,T_Fe134,15,VCQKRGUMIWDESRW,4080,215,QWJKGTTBATEWAHN
E,K_12M34,96,TDGZPEQTLFGJQCV,4450,112,INOMZYINCCISUCQ
B,T_Fe134,518,FOLRHQUMXSELBYM,2873,162,KAQZSSKPPWRORYW
E,K_12M34,431,PGRSPDOMBBGLRYP,2350,209,OXMMZOZDYYWVGJG
H,O_Um421,295,EDJEGYBIQYVBXOA,2615,153,OLNSTYUIIIGYSSL
F,T_xEfV1,712,IKOPSJGARBTCQLY,2018,149,BGRMWMMUMEFOBGL
B,T_Fe134,469,GCCIJFZZLUSNZKR,1534,162,KAQZSSKPPWRORYW
D,Y_A13Fm,822,SKVFPHPLCMNHQPE,2210,112,INOMZYINCCISUCQ
E,K_12M34,672,LTFQSCEYRBVKUAP,2805,209,OXMMZOZDYYWVGJG
B,T_Fe134,84,HLLIUTIMRUMRQDK,4630,208,DPQLFVEHBGGKXGX
H,O_Um421,502,UYCUSOYWJOOGNSE,4625,121,WWICVCDUHUKZAWN
G,U_oAo12,515,JHSFUSBMABVPPJH,3817,181,CBKMUWJEKWNROTY
K,R_NFT36,163,WJEQCQKJKVCRYMJ,2926,112,INOMZYINCCISUCQ
B,T_Fe134,672,LTFQSCEYRBVKUAP,4389,121,WWICVCDUHUKZAWN
C,X_MM42e,785,RPCNHBECGNSCRLO,4887,197,BNSCSXOJWAFTTVS
K,R_NFT36,163,WJEQCQKJKVCRYMJ,4180,153,OLNSTYUIIIGYSSL
A,X_10fMM,798,USPSEOSELIAAPUD,3622,153,OLNSTYUIIIGYSSL
H,O_Um421,546,AASZXWXFJTNTKNX,2542,179,PKOSWZVLMXMTLZW
K,R_NFT36,729,LJGOQBMPLTAWZHD,4108,162,KAQZSSKPPWRORYW
H,O_Um421,515,JHSFUSBMABVPPJH,1653,215,QWJKGTTBATEWAHN
K,R_NFT36,142,XVRRJLDRBCRUBVU,3351,112,INOMZYINCCISUCQ
B,T_Fe134,138,WWWKZNUKKOCVLDA,1775,197,BNSCSXOJWAFTTVS
G,U_oAo12,491,HWIQNNMEKJRBPGP,4160,162,KAQZSSKPPWRORYW
D,Y_A13Fm,150,EPGRUBMPZPBYLHC,4379,171,WOTRJPNMGQSJCKW
G,U_oAo12,150,EPGRUBMPZPBYLHC,1979,181,CBKMUWJEKWNROTY
E,K_12M34,672,LTFQSCEYRBVKUAP,4718,153,OLNSTYUIIIGYSSL
E,K_12M34,379,TUHOMJTPLRKEYQA,1004,209,OXMMZOZDYYWVGJG
E,K_12M34,518,FOLRHQUMXSELBYM,2210,208,DPQLFVEHBGGKXGX
C,X_MM42e,699,MIYDBATFLODBRRA,2719,215,QWJKGTTBATEWAHN
G,U_oAo12,138,WWWKZNUKKOCVLDA,4852,149,BGRMWMMUMEFOBGL
C,X_MM42e,469,GCCIJFZZLUSNZKR,3071,181,CBKMUWJEKWNROTY
A,X_10fMM,699,MIYDBATFLODBRRA,2388,198,UHNHONUHHZTFLGT
C,X_MM42e,60,QEBBIPDXWRCHGSK,1109,153,OLNSTYUIIIGYSSL
F,T_xEfV1,295,EDJEGYBIQYVBXOA,1850,174,JIBGCETMMPEQHUC
G,U_oAo12,662,ODFURYFINNMQPUJ,4650,153,OLNSTYUIIIGYSSL
G,U_oAo12,38,IORHSTMRDEJEBPU,3522,162,KAQZSSKPPWRORYW
K,R_NFT36,413,BYLODPSXBFMLHFU,3140,197,BNSCSXOJWAFTTVS
E,K_12M34,307,ILISBJAVSODTASL,3426,198,UHNHONUHHZTFLGT
H,O_Um421,431,PGRSPDOMBBGLRYP,2353,121,WWICVCDUHUKZAWN
K,R_NFT36,650,UWIGXJDOHPGZKOC,3808,153,OLNSTYUIIIGYSSL
H,O_Um421,760,AIUYMMHXMPOYHJJ,4933,197,BNSCSXOJWAFTTVS
K,R_NFT36,81,ODZTDFJYPUEVZXZ,3734,153,OLNSTYUIIIGYSSL
K,R_NFT36,113,JXFGSVBQNNEUMCJ,4958,112,INOMZYINCCISUCQ
D,Y_A13Fm,491,HWIQNNMEKJRBPGP,4739,181,CBKMUWJEKWNROTY
D,Y_A13Fm,491,HWIQNNMEKJRBPGP,2353,198,UHNHONUHHZTFLGT
H,O_Um421,606,RRRGXLFJSGOHCYW,2908,209,OXMMZOZDYYWVGJG
A,X_10fMM,307,ILISBJAVSODTASL,1643,112,INOMZYINCCISUCQ
C,X_MM42e,582,VIYZJRMURLLANOL,2786,153,OLNSTYUIIIGYSSL
F,T_xEfV1,136,ABVXFPLEMVOTBRQ,4642,215,QWJKGTTBATEWAHN
F,T_xEfV1,647,PNAWBSQVYHBMFPO,3705,208,DPQLFVEHBGGKXGX
K,R_NFT36,518,FOLRHQUMXSELBYM,1919,112,INOMZYINCCISUCQ
D,Y_A13Fm,443,LLWUUQCYEXLUAIB,3885,171,WOTRJPNMGQSJCKW
F,T_xEfV1,163,WJEQCQKJKVCRYMJ,3873,174,JIBGCETMMPEQHUC
D,Y_A13Fm,35,PSSVRABNAOGNKCP,2535,210,LCZQWSYFTCTBQUI
C,X_MM42e,785,RPCNHBECGNSCRLO,1996,174,JIBGCETMMPEQHUC
G,U_oAo12,550,JHDHDSBRIXPFYZF,4593,153,OLNSTYUIIIGYSSL
H,O_Um421,379,TUHOMJTPLRKEYQA,4686,112,INOMZYINCCISUCQ
K,R_NFT36,47,GVWFISHPCDXNRVU,1653,208,DPQLFVEHBGGKXGX
B,T_Fe134,431,PGRSPDOMBBGLRYP,2421,208,DPQLFVEHBGGKXGX
H,O_Um421,699,MIYDBATFLODBRRA,2685,112,INOMZYINCCISUCQ
D,Y_A13Fm,502,UYCUSOYWJOOGNSE,2405,174,JIBGCETMMPEQHUC
D,Y_A13Fm,150,EPGRUBMPZPBYLHC,4246,174,JIBGCETMMPEQHUC
G,U_oAo12,81,ODZTDFJYPUEVZXZ,3368,209,OXMMZOZDYYWVGJG
E,K_12M34,390,CHVNCVKDEMWMRPE,1980,198,UHNHONUHHZTFLGT
C,X_MM42e,606,RRRGXLFJSGOHCYW,1550,179,PKOSWZVLMXMTLZW
E,K_12M34,518,FOLRHQUMXSELBYM,1650,209,OXMMZOZDYYWVGJG
H,O_Um421,838,ZLOCESNXHIZOOUL,3688,121,WWICVCDUHUKZAWN
A,X_10fMM,49,CPIEOLOBXRARHBO,2708,197,BNSCSXOJWAFTTVS
F,T_xEfV1,929,MZZSOCSUGSTUXPF,2486,215,QWJKGTTBATEWAHN
H,O_Um421,583,QDMHXFMKFQWMNUF,3142,153,OLNSTYUIIIGYSSL
D,Y_A13Fm,113,JXFGSVBQNNEUMCJ,4190,210,LCZQWSYFTCTBQUI
D,Y_A13Fm,138,WWWKZNUKKOCVLDA,3256,181,CBKMUWJEKWNROTY
E,K_12M34,952,VURNASZCCMBGFMH,2714,210,LCZQWSYFTCTBQUI
E,K_12M34,712,IKOPSJGARBTCQLY,1558,208,DPQLFVEHBGGKXGX
A,X_10fMM,659,SDHVERSRFEVGPNA,3681,149,BGRMWMMUMEFOBGL
C,X_MM42e,431,PGRSPDOMBBGLRYP,2815,171,WOTRJPNMGQSJCKW
E,K_12M34,672,LTFQSCEYRBVKUAP,4323,171,WOTRJPNMGQSJCKW
D,Y_A13Fm,674,AFNIOPRUNAKVQOO,2019,197,BNSCSXOJWAFTTVS
H,O_Um421,347,PAVNWKHMTBVVNWB,4463,208,DPQLFVEHBGGKXGX
F,T_xEfV1,582,VIYZJRMURLLANOL,1603,181,CBKMUWJEKWNROTY
F,T_xEfV1,729,LJGOQBMPLTAWZHD,2669,208,DPQLFVEHBGGKXGX
A,X_10fMM,35,PSSVRABNAOGNKCP,3022,121,WWICVCDUHUKZAWN
F,T_xEfV1,390,CHVNCVKDEMWMRPE,3394,210,LCZQWSYFTCTBQUI
E,K_12M34,550,JHDHDSBRIXPFYZF,4828,179,PKOSWZVLMXMTLZW
C,X_MM42e,368,HXUBRLHKGOBUJKR,4800,171,WOTRJPNMGQSJCKW
A,X_10fMM,15,VCQKRGUMIWDESRW,4241,209,OXMMZOZDYYWVGJG
B,T_Fe134,755,XIBUOKRQGJCFFMG,4167,171,WOTRJPNMGQSJCKW
E,K_12M34,385,NHYVTTIDXFYADCF,3095,153,OLNSTYUIIIGYSSL
A,X_10fMM,100,KHVFQKBBTJPBMQP,1902,179,PKOSWZVLMXMTLZW
D,Y_A13Fm,177,MZXEXJZPBWCTOXL,3313,174,JIBGCETMMPEQHUC
G,U_oAo12,595,TBAWQGLWABDNIIX,3071,112,INOMZYINCCISUCQ
D,Y_A13Fm,136,ABVXFPLEMVOTBRQ,3375,112,INOMZYINCCISUCQ
E,K_12M34,889,GMPOFQSNXAFECJD,2340,112,INOMZYINCCISUCQ
C,X_MM42e,826,GJBZRUMIQLQFNCZ,3399,162,KAQZSSKPPWRORYW
G,U_oAo12,760,AIUYMMHXMPOYHJJ,1708,162,KAQZSSKPPWRORYW
E,K_12M34,990,JAHPMDXMTWJIEDT,4962,179,PKOSWZVLMXMTLZW
E,K_12M34,697,GHVMMFKKKMDGWBO,3650,121,WWICVCDUHUKZAWN
K,R_NFT36,785,RPCNHBECGNSCRLO,2010,208,DPQLFVEHBGGKXGX
G,U_oAo12,385,NHYVTTIDXFYADCF,3398,209,OXMMZOZDYYWVGJG
B,T_Fe134,240,CFSPXFBIYSITKUE,3258,181,CBKMUWJEKWNROTY
F,T_xEfV1,113,JXFGSVBQNNEUMCJ,2488,197,BNSCSXOJWAFTTVS
K,R_NFT36,15,VCQKRGUMIWDESRW,3122,197,BNSCSXOJWAFTTVS
K,R_NFT36,758,CDSHIUCJMSVSCEJ,3690,162,KAQZSSKPPWRORYW
A,X_10fMM,384,NDGVSOYSBRMIQLD,4579,153,OLNSTYUIIIGYSSL
C,X_MM42e,502,UYCUSOYWJOOGNSE,3313,215,QWJKGTTBATEWAHN
B,T_Fe134,47,GVWFISHPCDXNRVU,2412,209,OXMMZOZDYYWVGJG
A,X_10fMM,138,WWWKZNUKKOCVLDA,4914,174,JIBGCETMMPEQHUC
E,K_12M34,546,AASZXWXFJTNTKNX,4673,149,BGRMWMMUMEFOBGL
C,X_MM42e,240,CFSPXFBIYSITKUE,3968,149,BGRMWMMUMEFOBGL
K,R_NFT36,662,ODFURYFINNMQPUJ,2543,209,OXMMZOZDYYWVGJG
A,X_10fMM,54,EYDZXNGJGPZNZVI,1997,174,JIBGCETMMPEQHUC
B,T_Fe134,84,HLLIUTIMRUMRQDK,2197,121,WWICVCDUHUKZAWN
K,R_NFT36,473,RJWQPBLKMLUAIMZ,1456,112,INOMZYINCCISUCQ
C,X_MM42e,697,GHVMMFKKKMDGWBO,3193,162,KAQZSSKPPWRORYW
F,T_xEfV1,14,OOMARJWTOWJFXLM,4961,153,OLNSTYUIIIGYSSL
F,T_xEfV1,562,VNGWSFSNSIAFCGD,2071,112,INOMZYINCCISUCQ
B,T_Fe134,347,PAVNWKHMTBVVNWB,3579,209,OXMMZOZDYYWVGJG
F,T_xEfV1,940,XQCNPCOHYWSQVFY,1003,208,DPQLFVEHBGGKXGX
B,T_Fe134,149,LFUFLBFHQUOERLG,4224,210,LCZQWSYFTCTBQUI
H,O_Um421,952,VURNASZCCMBGFMH,3215,149,BGRMWMMUMEFOBGL
K,R_NFT36,852,WJILXXFLHVEIIVG,1320,197,BNSCSXOJWAFTTVS
H,O_Um421,150,EPGRUBMPZPBYLHC,4931,149,BGRMWMMUMEFOBGL
G,U_oAo12,523,MLBHTRWIKRCOCYV,2464,181,CBKMUWJEKWNROTY
A,X_10fMM,27,FCHGPOTLBXXKTOB,4888,153,OLNSTYUIIIGYSSL
G,U_oAo12,347,PAVNWKHMTBVVNWB,4100,198,UHNHONUHHZTFLGT
A,X_10fMM,384,NDGVSOYSBRMIQLD,1290,149,BGRMWMMUMEFOBGL
C,X_MM42e,20,ILQLMBISHNQTVFK,4332,181,CBKMUWJEKWNROTY
E,K_12M34,940,XQCNPCOHYWSQVFY,2583,181,CBKMUWJEKWNROTY
D,Y_A13Fm,827,HBCWMFSNHTNNSOF,2397,174,JIBGCETMMPEQHUC
C,X_MM42e,240,CFSPXFBIYSITKUE,2019,121,WWICVCDUHUKZAWN
H,O_Um421,515,JHSFUSBMABVPPJH,3989,209,OXMMZOZDYYWVGJG
A,X_10fMM,952,VURNASZCCMBGFMH,4426,181,CBKMUWJEKWNROTY
F,T_xEfV1,469,GCCIJFZZLUSNZKR,3943,112,INOMZYINCCISUCQ
H,O_Um421,458,DZGZSRGUYGDHDIX,4430,149,BGRMWMMUMEFOBGL
B,T_Fe134,962,PLENQJDDYZULYKA,3015,121,WWICVCDUHUKZAWN
F,T_xEfV1,940,XQCNPCOHYWSQVFY,3269,181,CBKMUWJEKWNROTY
A,X_10fMM,546,AASZXWXFJTNTKNX,1079,215,QWJKGTTBATEWAHN
F,T_xEfV1,568,HFPDEYWZGYHHSJP,2522,153,OLNSTYUIIIGYSSL
C,X_MM42e,240,CFSPXFBIYSITKUE,3660,209,OXMMZOZDYYWVGJG
F,T_xEfV1,662,ODFURYFINNMQPUJ,1935,149,BGRMWMMUMEFOBGL
K,R_NFT36,760,AIUYMMHXMPOYHJJ,3341,198,UHNHONUHHZTFLGT
B,T_Fe134,712,IKOPSJGARBTCQLY,4951,209,OXMMZOZDYYWVGJG
H,O_Um421,755,XIBUOKRQGJCFFMG,4280,162,KAQZSSKPPWRORYW
